               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,             0.03646,            0.013821,           0.0060558,             0.96457,             0.94639,             0.96937,             0.47996,            0.044951,            0.012759,           0.0032757,             0.00604,             0.00604,             0.00604
                 122,            0.039092,            0.014015,           0.0083155,             0.96642,             0.95836,             0.97183,             0.50062,            0.043604,            0.012693,           0.0030431,            0.006007,            0.006007,            0.006007
                 123,             0.03752,            0.013773,           0.0047426,             0.94703,             0.93612,             0.96271,             0.49059,            0.044401,            0.012596,           0.0031165,            0.005974,            0.005974,            0.005974
                 124,             0.03679,            0.014255,           0.0056894,             0.97091,              0.9503,             0.96922,             0.49775,            0.047298,            0.012687,           0.0025051,            0.005941,            0.005941,            0.005941
                 125,            0.035601,            0.013452,           0.0038803,             0.95455,             0.94106,             0.96147,             0.48731,            0.047492,            0.012634,           0.0023508,            0.005908,            0.005908,            0.005908
                 126,            0.034695,            0.013745,           0.0041189,             0.95149,             0.93405,             0.95475,             0.47109,            0.039334,            0.012434,           0.0032709,            0.005875,            0.005875,            0.005875
                 127,            0.035027,            0.013539,           0.0045203,             0.95922,             0.95842,             0.97522,              0.4905,            0.035786,            0.012137,            0.002967,            0.005842,            0.005842,            0.005842
                 128,            0.035644,            0.013618,           0.0036706,             0.93428,             0.93491,             0.94484,               0.474,            0.041901,            0.012209,           0.0029537,            0.005809,            0.005809,            0.005809
                 129,            0.037423,             0.01357,           0.0032321,             0.94487,             0.90501,              0.9411,             0.45413,            0.042919,            0.012547,           0.0030281,            0.005776,            0.005776,            0.005776
                 130,            0.038016,            0.014032,           0.0060212,             0.95581,             0.94366,             0.96271,             0.46425,             0.03957,            0.012379,           0.0026188,            0.005743,            0.005743,            0.005743
                 131,            0.036227,            0.013768,           0.0043453,             0.96839,             0.95012,             0.96905,             0.47657,            0.041669,            0.013132,           0.0024406,             0.00571,             0.00571,             0.00571
                 132,            0.034629,            0.013562,           0.0057137,             0.95127,             0.93527,             0.94428,              0.4381,            0.041827,            0.013072,           0.0025376,            0.005677,            0.005677,            0.005677
                 133,            0.036642,            0.013154,           0.0048788,             0.96131,             0.95206,             0.96408,             0.47301,            0.045366,             0.01307,           0.0025744,            0.005644,            0.005644,            0.005644
                 134,            0.034697,            0.013465,           0.0032956,             0.96395,             0.94837,             0.95558,             0.45528,            0.044705,            0.012747,           0.0025623,            0.005611,            0.005611,            0.005611
                 135,            0.036582,            0.013561,            0.005456,             0.95978,             0.94336,             0.95815,             0.46195,            0.044597,            0.013358,           0.0025618,            0.005578,            0.005578,            0.005578
                 136,            0.038301,            0.013923,           0.0052951,             0.93191,             0.92305,             0.92579,             0.44128,            0.043487,            0.012829,           0.0023409,            0.005545,            0.005545,            0.005545
                 137,            0.037614,            0.013377,           0.0036364,             0.94577,             0.95306,             0.95941,             0.47311,            0.045033,             0.01273,           0.0022357,            0.005512,            0.005512,            0.005512
                 138,            0.036624,            0.013353,           0.0057631,              0.9623,             0.92047,             0.94868,             0.46551,             0.04708,             0.01282,           0.0020894,            0.005479,            0.005479,            0.005479
                 139,            0.037757,            0.013259,           0.0043437,             0.97186,             0.96521,             0.96513,             0.48505,            0.044088,            0.012697,           0.0022474,            0.005446,            0.005446,            0.005446
                 140,            0.034731,            0.014208,           0.0028984,             0.96282,             0.95173,             0.96728,             0.48558,            0.048818,            0.012676,           0.0022802,            0.005413,            0.005413,            0.005413
                 141,             0.03429,            0.013067,           0.0036909,             0.95651,             0.94973,             0.96275,             0.47583,            0.046576,            0.012946,           0.0025419,             0.00538,             0.00538,             0.00538
                 142,            0.034477,            0.012423,           0.0044756,             0.96875,             0.93682,             0.97257,             0.48621,             0.03882,            0.012649,           0.0032768,            0.005347,            0.005347,            0.005347
                 143,            0.038223,            0.013656,           0.0036202,             0.94231,             0.90233,             0.93552,             0.44249,            0.045186,            0.013031,           0.0034735,            0.005314,            0.005314,            0.005314
                 144,            0.036372,            0.013586,            0.003581,             0.94468,             0.94142,             0.96426,             0.47163,             0.04441,            0.012911,            0.003251,            0.005281,            0.005281,            0.005281
                 145,            0.031894,            0.012552,           0.0045126,              0.9544,             0.95223,             0.97133,              0.4893,            0.046572,            0.012721,           0.0028085,            0.005248,            0.005248,            0.005248
                 146,            0.035469,            0.013704,            0.006912,              0.9594,             0.95348,             0.96503,             0.49641,            0.046398,            0.012695,           0.0027242,            0.005215,            0.005215,            0.005215
                 147,            0.032127,            0.013089,           0.0046206,             0.97542,             0.92747,              0.9689,             0.49393,            0.041184,            0.012031,           0.0034701,            0.005182,            0.005182,            0.005182
                 148,            0.032315,            0.013148,           0.0048063,             0.93941,             0.95871,             0.96594,             0.48283,            0.042418,             0.01214,           0.0031579,            0.005149,            0.005149,            0.005149
                 149,            0.035588,            0.013423,           0.0042962,             0.95896,             0.91357,             0.96228,             0.46349,            0.041746,             0.01331,           0.0027526,            0.005116,            0.005116,            0.005116
                 150,            0.035906,            0.013462,           0.0057119,             0.96707,             0.95379,              0.9728,              0.4524,            0.045591,            0.012733,           0.0024136,            0.005083,            0.005083,            0.005083
                 151,            0.037506,            0.013805,           0.0044795,              0.9626,             0.93414,             0.96771,             0.48096,            0.045368,            0.012759,           0.0023073,             0.00505,             0.00505,             0.00505
                 152,            0.034862,             0.01355,            0.003352,             0.94985,             0.94428,             0.96686,             0.49293,            0.042965,            0.012649,           0.0024136,            0.005017,            0.005017,            0.005017
                 153,            0.034056,            0.012757,           0.0050262,             0.95485,             0.93903,             0.96358,             0.49501,            0.041665,            0.012545,           0.0026297,            0.004984,            0.004984,            0.004984
                 154,            0.032289,            0.013497,           0.0036681,             0.96839,             0.94881,             0.97793,             0.50317,            0.040108,             0.01198,           0.0023206,            0.004951,            0.004951,            0.004951
                 155,            0.034324,            0.013216,           0.0025183,             0.95677,             0.95859,              0.9735,             0.49081,             0.03855,            0.011911,           0.0020094,            0.004918,            0.004918,            0.004918
                 156,            0.032431,             0.01305,           0.0030477,             0.95342,             0.95625,             0.96973,             0.45833,            0.038339,            0.012278,           0.0018934,            0.004885,            0.004885,            0.004885
                 157,            0.034061,            0.013165,           0.0039382,             0.95564,             0.96459,             0.97447,             0.46379,             0.03993,            0.012644,           0.0020745,            0.004852,            0.004852,            0.004852
                 158,            0.033559,            0.013354,           0.0031518,              0.9418,             0.91878,             0.94124,             0.46566,            0.040457,            0.013127,           0.0023558,            0.004819,            0.004819,            0.004819
                 159,            0.032475,            0.013382,           0.0037291,             0.94531,              0.9383,             0.95291,             0.46798,            0.042806,            0.013534,           0.0026126,            0.004786,            0.004786,            0.004786
                 160,            0.032989,            0.012617,           0.0028433,             0.95745,             0.93154,             0.96086,             0.48926,            0.042163,            0.012938,           0.0026036,            0.004753,            0.004753,            0.004753
